Type,Name,Category,Price,FoodType,GST,Station,Description,Parent,ShortName,SKU,Default,SelectionType,Min,Max,Required,Group,Item
CATEGORY,"BEVERAGE",,,,,"Bar",,"Beverages",,,,,,,,,
ITEM,"Mineral Water","BEVERAGE",29,veg,5,"Bar",,,Mineral Water,TCV0001,,,,,,,
ITEM,"Tea","BEVERAGE",39,veg,5,"Bar",,,Tea,TCV0002,,,,,,,
ITEM,"Coffee","BEVERAGE",49,veg,5,"Bar",,,Coffee,TCV0003,,,,,,,
ITEM,"Fresh lime soda","BEVERAGE",99,veg,5,"Bar",,,Fresh lime soda,TCV0004,,,,,,,
ITEM,"Aerated Beverages","BEVERAGE",99,veg,5,"Bar",,,Aerated Beverag,TCV0005,,,,,,,
ITEM,"Lassi","BEVERAGE",99,veg,5,"Bar",,,Lassi,TCV0006,,,,,,,
ITEM,"Jal jeera","BEVERAGE",99,veg,5,"Bar",,,Jal jeera,TCV0007,,,,,,,
ITEM,"Masala Chhachh","BEVERAGE",99,veg,5,"Bar",,,Masala Chhachh,TCV0008,,,,,,,
ITEM,"Juices","BEVERAGE",109,veg,5,"Bar",,,Juices,TCV0009,,,,,,,
ITEM,"Cold coffee","BEVERAGE",119,veg,5,"Bar",,,Cold coffee,TCV0010,,,,,,,
ITEM,"Cold coffee With Ice Cream","BEVERAGE",139,veg,5,"Bar",,,Cold coffee Wit,TCV0011,,,,,,,

CATEGORY,"MOCKTAIL & SHAKES",,,,,"Bar",,"Beverages",,,,,,,,,
ITEM,"VIRGIN MOJITO","MOCKTAIL & SHAKES",149,veg,5,"Bar",,,VIRGIN MOJITO,TCV0012,,,,,,,
ITEM,"BLUE LAGOON","MOCKTAIL & SHAKES",149,veg,5,"Bar",,,BLUE LAGOON,TCV0013,,,,,,,
ITEM,"RED BULL MOJITO","MOCKTAIL & SHAKES",219,veg,5,"Bar",,,RED BULL MOJITO,TCV0014,,,,,,,
ITEM,"ORANGE SPLASH","MOCKTAIL & SHAKES",149,veg,5,"Bar",,,ORANGE SPLASH,TCV0015,,,,,,,
ITEM,"BLACK CURRANT","MOCKTAIL & SHAKES",149,veg,5,"Bar",,,BLACK CURRANT,TCV0016,,,,,,,
ITEM,"KIT KAT SHAKE","MOCKTAIL & SHAKES",159,veg,5,"Bar",,,KIT KAT SHAKE,TCV0017,,,,,,,
ITEM,"OREO SHAKE","MOCKTAIL & SHAKES",159,veg,5,"Bar",,,OREO SHAKE,TCV0018,,,,,,,
ITEM,"BUTTER SCOTCH SHAKE","MOCKTAIL & SHAKES",159,veg,5,"Bar",,,BUTTER SCOTCH S,TCV0019,,,,,,,
ITEM,"CHOCOLATE SHAKE","MOCKTAIL & SHAKES",159,veg,5,"Bar",,,CHOCOLATE SHAKE,TCV0020,,,,,,,
ITEM,"VANILLA SHAKE","MOCKTAIL & SHAKES",139,veg,5,"Bar",,,VANILLA SHAKE,TCV0021,,,,,,,

CATEGORY,"CHINESE VEG SOUPS",,,,,"Kitchen",,"Vegetarian",,,,,,,,,
ITEM,"HOT NSOUR SOUP","CHINESE VEG SOUPS",109,veg,5,"Kitchen",,,HOT NSOUR SOUP,TCV0022,,,,,,,
ITEM,"MANCHOW SOUP","CHINESE VEG SOUPS",109,veg,5,"Kitchen",,,MANCHOW SOUP,TCV0023,,,,,,,
ITEM,"SWEET CORN SOUP","CHINESE VEG SOUPS",109,veg,5,"Kitchen",,,SWEET CORN SOUP,TCV0024,,,,,,,
ITEM,"VEG CLEAR SOUP","CHINESE VEG SOUPS",109,veg,5,"Kitchen",,,VEG CLEAR SOUP,TCV0025,,,,,,,
ITEM,"LEMON CORIANDAR SOUP","CHINESE VEG SOUPS",109,veg,5,"Kitchen",,,LEMON CORIANDAR,TCV0026,,,,,,,
ITEM,"TOMATO SOUP","CHINESE VEG SOUPS",119,veg,5,"Kitchen",,,TOMATO SOUP,TCV0027,,,,,,,

CATEGORY,"CHINESE NON-VEG SOUPS",,,,,"Kitchen",,"Non-Vegetarian",,,,,,,,,
ITEM,"CHICKEN HOT NSOUR SOUP","CHINESE NON-VEG SOUPS",129,nonveg,5,"Kitchen",,,CHICKEN HOT NSO,TCV0028,,,,,,,
ITEM,"CHICKEN MANCHOW SOUP","CHINESE NON-VEG SOUPS",129,nonveg,5,"Kitchen",,,CHICKEN MANCHOW,TCV0029,,,,,,,
ITEM,"CHICKEN SWEET CORN SOUP","CHINESE NON-VEG SOUPS",129,nonveg,5,"Kitchen",,,CHICKEN SWEET C,TCV0030,,,,,,,
ITEM,"CHICKEN VEG CLEAR SOUP","CHINESE NON-VEG SOUPS",129,nonveg,5,"Kitchen",,,CHICKEN VEG CLE,TCV0031,,,,,,,
ITEM,"CHICKEN LEMON CORIANDAR SOUP","CHINESE NON-VEG SOUPS",129,nonveg,5,"Kitchen",,,CHICKEN LEMON C,TCV0032,,,,,,,

CATEGORY,"CHINESE VEG STARTER",,,,,"Kitchen",,"Vegetarian",,,,,,,,,
ITEM,"CHILLI PANEER","CHINESE VEG STARTER",0,veg,5,"Kitchen",,,CHILLI PANEER D,TCV0033,,,,,,,
VARIANT,Dry,,289,,,,,,,TCV0033-D,yes,,,,,"CHILLI PANEER"
VARIANT,Gravy,,289,,,,,,,TCV0033-G,no,,,,,"CHILLI PANEER"
ITEM,"PANEER 65","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,PANEER 65,TCV0034,,,,,,,
ITEM,"PANEER JUNGALI","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,PANEER JUNGALI,TCV0035,,,,,,,
ITEM,"CRISPY CORN SALT & PEPPER","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,CRISPY CORN SAL,TCV0036,,,,,,,
ITEM,"VEG KOTHE","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,VEG KOTHE,TCV0037,,,,,,,
ITEM,"VEG LOLLYPOP","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,VEG LOLLYPOP,TCV0038,,,,,,,
ITEM,"VEG SPRING ROLL","CHINESE VEG STARTER",249,veg,5,"Kitchen",,,VEG SPRING ROLL,TCV0039,,,,,,,
ITEM,"CHILLI POTATO","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,CHILLI POTATO,TCV0040,,,,,,,
ITEM,"CRISPY HONEY CHILLI POTATO","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,CRISPY HONEY CH,TCV0041,,,,,,,
ITEM,"MUSHROOM CHILLI","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,MUSHROOM CHILLI,TCV0042,,,,,,,
ITEM,"PANEER GARLIC","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,PANEER GARLIC,TCV0043,,,,,,,
ITEM,"CHANA CHILLI","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,CHANA CHILLI,TCV0044,,,,,,,
ITEM,"PANEER KALI MIRCH","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,PANEER KALI MIR,TCV0045,,,,,,,
ITEM,"VEG FRIED RICE","CHINESE VEG STARTER",259,veg,5,"Kitchen",,,VEG FRIED RICE,TCV0046,,,,,,,
ITEM,"VEG SCHEZWAN FRIED RICE","CHINESE VEG STARTER",269,veg,5,"Kitchen",,,VEG SCHEZWAN FR,TCV0047,,,,,,,
ITEM,"TRIPLE FRIED RICE","CHINESE VEG STARTER",289,veg,5,"Kitchen",,,TRIPLE FRIED RI,TCV0048,,,,,,,
ITEM,"VEG CHILLI GARLIC FRIED RICE","CHINESE VEG STARTER",269,veg,5,"Kitchen",,,VEG CHILLI GARL,TCV0049,,,,,,,
ITEM,"VEG NOODLES","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,VEG NOODLES,TCV0050,,,,,,,
ITEM,"VEG HAKKA NOODLES","CHINESE VEG STARTER",229,veg,5,"Kitchen",,,VEG HAKKA NOODL,TCV0051,,,,,,,
ITEM,"VEG SCHEZWAN NOODLES","CHINESE VEG STARTER",249,veg,5,"Kitchen",,,VEG SCHEZWAN NO,TCV0052,,,,,,,
ITEM,"VEG SINGAPORI NOODLES","CHINESE VEG STARTER",259,veg,5,"Kitchen",,,VEG SINGAPORI N,TCV0053,,,,,,,
ITEM,"VEG MANCHURIYAN","CHINESE VEG STARTER",0,veg,5,"Kitchen",,,VEG MANCHURIYAN,TCV0054,,,,,,,
VARIANT,Dry,,249,,,,,,,TCV0054-D,yes,,,,,"VEG MANCHURIYAN"
VARIANT,Gravy,,249,,,,,,,TCV0054-G,no,,,,,"VEG MANCHURIYAN"
ITEM,"PANEER MANCURIYAN","CHINESE VEG STARTER",0,veg,5,"Kitchen",,,PANEER MANCURIY,TCV0055,,,,,,,
VARIANT,Dry,,269,,,,,,,TCV0055-D,yes,,,,,"PANEER MANCURIYAN"
VARIANT,Gravy,,269,,,,,,,TCV0055-G,no,,,,,"PANEER MANCURIYAN"
ITEM,"PANEER NOODLES","CHINESE VEG STARTER",259,veg,5,"Kitchen",,,PANEER NOODLES,TCV0056,,,,,,,
ITEM,"CHILLY GARLIC NOODLES","CHINESE VEG STARTER",259,veg,5,"Kitchen",,,CHILLY GARLIC N,TCV0057,,,,,,,
ITEM,"CHANA ROAST","CHINESE VEG STARTER",219,veg,5,"Kitchen",,,CHANA ROAST,TCV0058,,,,,,,
ITEM,"PANEER CHINA TOWN","CHINESE VEG STARTER",249,veg,5,"Kitchen",,,PANEER CHINA TO,TCV0059,,,,,,,
ITEM,"PANNER MUSHROOM GOLDEN FRY","CHINESE VEG STARTER",269,veg,5,"Kitchen",,,PANNER MUSHROOM,TCV0060,,,,,,,

CATEGORY,"CHINESE NON VEG STARTER",,,,,"Kitchen",,"Non-Vegetarian",,,,,,,,,
ITEM,"CHILLI CHICKEN","CHINESE NON VEG STARTER",0,nonveg,5,"Kitchen",,,CHILLI CHICKEN,TCV0061,,,,,,,
VARIANT,Dry,,319,,,,,,,TCV0061-D,yes,,,,,"CHILLI CHICKEN"
VARIANT,Gravy,,319,,,,,,,TCV0061-G,no,,,,,"CHILLI CHICKEN"
ITEM,"CHICKEN 65","CHINESE NON VEG STARTER",319,nonveg,5,"Kitchen",,,CHICKEN 65,TCV0062,,,,,,,
ITEM,"DRUMS OF HEAVEN","CHINESE NON VEG STARTER",339,nonveg,5,"Kitchen",,,DRUMS OF HEAVEN,TCV0063,,,,,,,
ITEM,"CHILLI GARLIC CHICKEN","CHINESE NON VEG STARTER",329,nonveg,5,"Kitchen",,,CHILLI GARLIC C,TCV0064,,,,,,,
ITEM,"EGG CHILLI","CHINESE NON VEG STARTER",0,nonveg,5,"Kitchen",,,EGG CHILLI DRY/,TCV0065,,,,,,,
VARIANT,Dry,,299,,,,,,,TCV0065-D,yes,,,,,"EGG CHILLI"
VARIANT,Gravy,,299,,,,,,,TCV0065-G,no,,,,,"EGG CHILLI"
ITEM,"CRISPY CHICKEN SALT AND PEPPER","CHINESE NON VEG STARTER",329,nonveg,5,"Kitchen",,,CRISPY CHICKEN,TCV0066,,,,,,,
ITEM,"CRISPY HONEY CHICKEN","CHINESE NON VEG STARTER",339,nonveg,5,"Kitchen",,,CRISPY HONEY CH,TCV0067,,,,,,,
ITEM,"CHICKEN SPRING ROLL","CHINESE NON VEG STARTER",339,nonveg,5,"Kitchen",,,CHICKEN SPRING,TCV0068,,,,,,,
ITEM,"CHILLI FISH","CHINESE NON VEG STARTER",0,nonveg,5,"Kitchen",,,CHILLI FISH DRY,TCV0069,,,,,,,
VARIANT,Dry,,359,,,,,,,TCV0069-D,yes,,,,,"CHILLI FISH"
VARIANT,Gravy,,359,,,,,,,TCV0069-G,no,,,,,"CHILLI FISH"
ITEM,"CHICKEN FRIED RICE","CHINESE NON VEG STARTER",289,nonveg,5,"Kitchen",,,CHICKEN FRIED R,TCV0070,,,,,,,
ITEM,"CHICKEN SCHEZWAN FRIED RICE","CHINESE NON VEG STARTER",299,nonveg,5,"Kitchen",,,CHICKEN SCHEZWA,TCV0071,,,,,,,
ITEM,"SINGAPOREAN CHICKEN FRIED RICE","CHINESE NON VEG STARTER",299,nonveg,5,"Kitchen",,,SINGAPOREAN CHI,TCV0072,,,,,,,
ITEM,"CHICKEN MANCHURIAN","CHINESE NON VEG STARTER",0,nonveg,5,"Kitchen",,,CHICKEN MANCHUR,TCV0073,,,,,,,
VARIANT,Dry,,319,,,,,,,TCV0073-D,yes,,,,,"CHICKEN MANCHURIAN"
VARIANT,Gravy,,319,,,,,,,TCV0073-G,no,,,,,"CHICKEN MANCHURIAN"
ITEM,"EGG NOODLES","CHINESE NON VEG STARTER",269,nonveg,5,"Kitchen",,,EGG NOODLES,TCV0074,,,,,,,
ITEM,"CHICKEN HAKKA NOODLES","CHINESE NON VEG STARTER",299,nonveg,5,"Kitchen",,,CHICKEN HAKKA N,TCV0075,,,,,,,
