Type,Name,Category,Price,FoodType,GST,Station,Description,Parent,ShortName,SKU,Default,SelectionType,Min,Max,Required,Group,Item
CATEGORY,Beverages,,,,,Bar,All beverages and drinks,,,,,,,,,,
CATEGORY,Mocktails & Shakes,,,,,Bar,Mocktails and milkshakes,,,,,,,,,,
CATEGORY,Chinese Veg Soups,,,,,Kitchen,Vegetarian Chinese soups,,,,,,,,,,
CATEGORY,Chinese Non-Veg Soups,,,,,Kitchen,Non-veg Chinese soups,,,,,,,,,,
CATEGORY,Chinese Veg Starter,,,,,Kitchen,Vegetarian Chinese starters,,,,,,,,,,
CATEGORY,Chinese Non-Veg Starter,,,,,Kitchen,Non-veg Chinese starters,,,,,,,,,,
CATEGORY,Pizza & Pasta,,,,,Kitchen,Italian cuisine,,,,,,,,,,
CATEGORY,Burger & Sandwich,,,,,Kitchen,Burgers and sandwiches,,,,,,,,,,
CATEGORY,Tandoor Veg Starter,,,,,Tandoor,Vegetarian tandoor items,,,,,,,,,,
CATEGORY,Tandoor Non-Veg Starter,,,,,Tandoor,Non-veg tandoor items,,,,,,,,,,
CATEGORY,Main Course Veg,,,,,Kitchen,Vegetarian main course,,,,,,,,,,
CATEGORY,Dal,,,,,Kitchen,Dal varieties,,,,,,,,,,
CATEGORY,Main Course Non-Veg,,,,,Kitchen,Non-veg main course,,,,,,,,,,
CATEGORY,Breads,,,,,Tandoor,Indian breads,,,,,,,,,,
CATEGORY,Rice & Biryani,,,,,Kitchen,Rice dishes and biryanis,,,,,,,,,,
CATEGORY,Raita,,,,,Kitchen,Raita varieties,,,,,,,,,,
CATEGORY,Accompaniments,,,,,Kitchen,Salads and extras,,,,,,,,,,
CATEGORY,Desserts,,,,,Dessert,Sweet dishes,,,,,,,,,,

ITEM,Mineral Water,Beverages,29,veg,5,Bar,,,Water,BEV001,,,,,,,
ITEM,Tea,Beverages,39,veg,5,Bar,,,Tea,BEV002,,,,,,,
ITEM,Coffee,Beverages,49,veg,5,Bar,,,Coffee,BEV003,,,,,,,
ITEM,Fresh Lime Soda,Beverages,99,veg,5,Bar,,,Lime Soda,BEV004,,,,,,,
ITEM,Aerated Beverages,Beverages,99,veg,5,Bar,,,Soft Drink,BEV005,,,,,,,
ITEM,Lassi,Beverages,99,veg,5,Bar,,,Lassi,BEV006,,,,,,,
ITEM,Jal Jeera,Beverages,99,veg,5,Bar,,,Jal Jeera,BEV007,,,,,,,
ITEM,Masala Chhachh,Beverages,99,veg,5,Bar,,,Chhachh,BEV008,,,,,,,
ITEM,Juices,Beverages,109,veg,5,Bar,,,Juice,BEV009,,,,,,,
ITEM,Cold Coffee,Beverages,119,veg,5,Bar,,,Cold Coffee,BEV010,,,,,,,
ITEM,Cold Coffee With Ice Cream,Beverages,139,veg,5,Bar,,,CC IceCream,BEV011,,,,,,,

ITEM,Virgin Mojito,Mocktails & Shakes,149,veg,5,Bar,,,V Mojito,MOC001,,,,,,,
ITEM,Blue Lagoon,Mocktails & Shakes,149,veg,5,Bar,,,Blue Lagoon,MOC002,,,,,,,
ITEM,Red Bull Mojito,Mocktails & Shakes,219,veg,5,Bar,,,RB Mojito,MOC003,,,,,,,
ITEM,Orange Splash,Mocktails & Shakes,149,veg,5,Bar,,,Org Splash,MOC004,,,,,,,
ITEM,Black Currant,Mocktails & Shakes,149,veg,5,Bar,,,Blk Currant,MOC005,,,,,,,
ITEM,Kit Kat Shake,Mocktails & Shakes,159,veg,5,Bar,,,KitKat Shk,MOC006,,,,,,,
ITEM,Oreo Shake,Mocktails & Shakes,159,veg,5,Bar,,,Oreo Shake,MOC007,,,,,,,
ITEM,Butter Scotch Shake,Mocktails & Shakes,159,veg,5,Bar,,,BS Shake,MOC008,,,,,,,
ITEM,Chocolate Shake,Mocktails & Shakes,159,veg,5,Bar,,,Choco Shake,MOC009,,,,,,,
ITEM,Vanilla Shake,Mocktails & Shakes,139,veg,5,Bar,,,Van Shake,MOC010,,,,,,,

ITEM,Hot N Sour Soup Veg,Chinese Veg Soups,109,veg,5,Kitchen,,,HnS Soup V,SVG001,,,,,,,
ITEM,Manchow Soup Veg,Chinese Veg Soups,109,veg,5,Kitchen,,,Manchow V,SVG002,,,,,,,
ITEM,Sweet Corn Soup Veg,Chinese Veg Soups,109,veg,5,Kitchen,,,SC Soup V,SVG003,,,,,,,
ITEM,Veg Clear Soup,Chinese Veg Soups,109,veg,5,Kitchen,,,Clear Soup,SVG004,,,,,,,
ITEM,Lemon Coriander Soup Veg,Chinese Veg Soups,109,veg,5,Kitchen,,,LC Soup V,SVG005,,,,,,,
ITEM,Tomato Soup,Chinese Veg Soups,119,veg,5,Kitchen,,,Tomato Soup,SVG006,,,,,,,

ITEM,Chicken Hot N Sour Soup,Chinese Non-Veg Soups,129,nonveg,5,Kitchen,,,HnS Soup C,SNC001,,,,,,,
ITEM,Chicken Manchow Soup,Chinese Non-Veg Soups,129,nonveg,5,Kitchen,,,Manchow C,SNC002,,,,,,,
ITEM,Chicken Sweet Corn Soup,Chinese Non-Veg Soups,129,nonveg,5,Kitchen,,,SC Soup C,SNC003,,,,,,,
ITEM,Chicken Clear Soup,Chinese Non-Veg Soups,129,nonveg,5,Kitchen,,,Clear C,SNC004,,,,,,,
ITEM,Chicken Lemon Coriander Soup,Chinese Non-Veg Soups,129,nonveg,5,Kitchen,,,LC Soup C,SNC005,,,,,,,

ITEM,Chilli Paneer,Chinese Veg Starter,0,veg,5,Kitchen,Dry or Gravy,,Chilli Pan,CHV001,,,,,,,
VARIANT,Dry,,,289,,,,,,,CHV001-D,yes,,,,,Chilli Paneer
VARIANT,Gravy,,,289,,,,,,,CHV001-G,no,,,,,Chilli Paneer
ITEM,Paneer 65,Chinese Veg Starter,289,veg,5,Kitchen,,,Pan 65,CHV002,,,,,,,
ITEM,Paneer Jungali,Chinese Veg Starter,289,veg,5,Kitchen,,,Pan Jungali,CHV003,,,,,,,
ITEM,Crispy Corn Salt N Pepper,Chinese Veg Starter,219,veg,5,Kitchen,,,Crispy Corn,CHV004,,,,,,,
ITEM,Veg Kothe,Chinese Veg Starter,219,veg,5,Kitchen,,,Veg Kothe,CHV005,,,,,,,
ITEM,Veg Lollypop,Chinese Veg Starter,219,veg,5,Kitchen,,,Veg Lolly,CHV006,,,,,,,
ITEM,Veg Spring Roll,Chinese Veg Starter,249,veg,5,Kitchen,,,Spring Roll,CHV007,,,,,,,
ITEM,Chilli Potato,Chinese Veg Starter,219,veg,5,Kitchen,,,Chilli Pot,CHV008,,,,,,,
ITEM,Crispy Honey Chilli Potato,Chinese Veg Starter,219,veg,5,Kitchen,,,Honey Pot,CHV009,,,,,,,
ITEM,Mushroom Chilli,Chinese Veg Starter,289,veg,5,Kitchen,,,Mush Chilli,CHV010,,,,,,,
ITEM,Paneer Garlic,Chinese Veg Starter,289,veg,5,Kitchen,,,Pan Garlic,CHV011,,,,,,,
ITEM,Chana Chilli,Chinese Veg Starter,219,veg,5,Kitchen,,,Chana Chil,CHV012,,,,,,,
ITEM,Paneer Kali Mirch,Chinese Veg Starter,289,veg,5,Kitchen,,,Pan Kali,CHV013,,,,,,,
ITEM,Veg Fried Rice,Chinese Veg Starter,259,veg,5,Kitchen,,,Veg FR,CHV014,,,,,,,
ITEM,Veg Schezwan Fried Rice,Chinese Veg Starter,269,veg,5,Kitchen,,,Veg Sch FR,CHV015,,,,,,,
ITEM,Triple Fried Rice,Chinese Veg Starter,289,veg,5,Kitchen,,,Triple FR,CHV016,,,,,,,
ITEM,Veg Chilli Garlic Fried Rice,Chinese Veg Starter,269,veg,5,Kitchen,,,CG FR,CHV017,,,,,,,
ITEM,Veg Noodles,Chinese Veg Starter,219,veg,5,Kitchen,,,Veg Nood,CHV018,,,,,,,
ITEM,Veg Hakka Noodles,Chinese Veg Starter,229,veg,5,Kitchen,,,Hakka Nood,CHV019,,,,,,,
ITEM,Veg Schezwan Noodles,Chinese Veg Starter,249,veg,5,Kitchen,,,Sch Nood,CHV020,,,,,,,
ITEM,Veg Singapori Noodles,Chinese Veg Starter,259,veg,5,Kitchen,,,Sing Nood,CHV021,,,,,,,
ITEM,Veg Manchurian,Chinese Veg Starter,0,veg,5,Kitchen,Dry or Gravy,,Veg Manchu,CHV022,,,,,,,
VARIANT,Dry,,,249,,,,,,,CHV022-D,yes,,,,,Veg Manchurian
VARIANT,Gravy,,,249,,,,,,,CHV022-G,no,,,,,Veg Manchurian
ITEM,Paneer Manchurian,Chinese Veg Starter,0,veg,5,Kitchen,Dry or Gravy,,Pan Manchu,CHV023,,,,,,,
VARIANT,Dry,,,269,,,,,,,CHV023-D,yes,,,,,Paneer Manchurian
VARIANT,Gravy,,,269,,,,,,,CHV023-G,no,,,,,Paneer Manchurian
ITEM,Paneer Noodles,Chinese Veg Starter,259,veg,5,Kitchen,,,Pan Nood,CHV024,,,,,,,
ITEM,Chilli Garlic Noodles,Chinese Veg Starter,259,veg,5,Kitchen,,,CG Nood,CHV025,,,,,,,
ITEM,Chana Roast,Chinese Veg Starter,219,veg,5,Kitchen,,,Chana Rst,CHV026,,,,,,,
ITEM,Paneer China Town,Chinese Veg Starter,249,veg,5,Kitchen,,,Pan China,CHV027,,,,,,,
ITEM,Paneer Mushroom Golden Fry,Chinese Veg Starter,269,veg,5,Kitchen,,,Pan Mush GF,CHV028,,,,,,,

ITEM,Chilli Chicken,Chinese Non-Veg Starter,0,nonveg,5,Kitchen,Dry or Gravy,,Chilli Chk,CHN001,,,,,,,
VARIANT,Dry,,,319,,,,,,,CHN001-D,yes,,,,,Chilli Chicken
VARIANT,Gravy,,,319,,,,,,,CHN001-G,no,,,,,Chilli Chicken
ITEM,Chicken 65,Chinese Non-Veg Starter,319,nonveg,5,Kitchen,,,Chk 65,CHN002,,,,,,,
ITEM,Drums of Heaven,Chinese Non-Veg Starter,339,nonveg,5,Kitchen,,,Drums Hvn,CHN003,,,,,,,
ITEM,Chilli Garlic Chicken,Chinese Non-Veg Starter,329,nonveg,5,Kitchen,,,CG Chicken,CHN004,,,,,,,
ITEM,Egg Chilli,Chinese Non-Veg Starter,0,egg,5,Kitchen,Dry or Gravy,,Egg Chilli,CHN005,,,,,,,
VARIANT,Dry,,,299,,,,,,,CHN005-D,yes,,,,,Egg Chilli
VARIANT,Gravy,,,299,,,,,,,CHN005-G,no,,,,,Egg Chilli
ITEM,Crispy Chicken Salt N Pepper,Chinese Non-Veg Starter,329,nonveg,5,Kitchen,,,Crispy Chk,CHN006,,,,,,,
ITEM,Crispy Honey Chicken,Chinese Non-Veg Starter,339,nonveg,5,Kitchen,,,Honey Chk,CHN007,,,,,,,
ITEM,Chicken Spring Roll,Chinese Non-Veg Starter,339,nonveg,5,Kitchen,,,Chk Spring,CHN008,,,,,,,
ITEM,Chilli Fish,Chinese Non-Veg Starter,0,nonveg,5,Kitchen,Dry or Gravy,,Chilli Fish,CHN009,,,,,,,
VARIANT,Dry,,,359,,,,,,,CHN009-D,yes,,,,,Chilli Fish
VARIANT,Gravy,,,359,,,,,,,CHN009-G,no,,,,,Chilli Fish
ITEM,Chicken Fried Rice,Chinese Non-Veg Starter,289,nonveg,5,Kitchen,,,Chk FR,CHN010,,,,,,,
ITEM,Chicken Schezwan Fried Rice,Chinese Non-Veg Starter,299,nonveg,5,Kitchen,,,Chk Sch FR,CHN011,,,,,,,
ITEM,Singaporean Chicken Fried Rice,Chinese Non-Veg Starter,299,nonveg,5,Kitchen,,,Sing Chk FR,CHN012,,,,,,,
ITEM,Chicken Manchurian,Chinese Non-Veg Starter,0,nonveg,5,Kitchen,Dry or Gravy,,Chk Manchu,CHN013,,,,,,,
VARIANT,Dry,,,319,,,,,,,CHN013-D,yes,,,,,Chicken Manchurian
VARIANT,Gravy,,,319,,,,,,,CHN013-G,no,,,,,Chicken Manchurian
ITEM,Egg Noodles,Chinese Non-Veg Starter,269,egg,5,Kitchen,,,Egg Nood,CHN014,,,,,,,
ITEM,Chicken Hakka Noodles,Chinese Non-Veg Starter,299,nonveg,5,Kitchen,,,Chk Hakka,CHN015,,,,,,,
ITEM,Chilli Garlic Chicken Noodles,Chinese Non-Veg Starter,319,nonveg,5,Kitchen,,,CG Chk Nood,CHN016,,,,,,,
ITEM,Black Pepper Chicken,Chinese Non-Veg Starter,319,nonveg,5,Kitchen,,,BP Chicken,CHN017,,,,,,,
ITEM,Lemon Fish,Chinese Non-Veg Starter,339,nonveg,5,Kitchen,,,Lemon Fish,CHN018,,,,,,,
ITEM,Fish Garlic Sauce,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Fish Garlic,CHN019,,,,,,,
ITEM,Egg Kali Mirch,Chinese Non-Veg Starter,249,egg,5,Kitchen,,,Egg Kali,CHN020,,,,,,,
ITEM,Ginger Chicken,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Ginger Chk,CHN021,,,,,,,
ITEM,Chicken Kali Mirch,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Chk Kali,CHN022,,,,,,,
ITEM,Kung Pao Chicken,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Kung Pao,CHN023,,,,,,,
ITEM,Chicken China Town,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Chk China,CHN024,,,,,,,
ITEM,Chicken Hunan Sauce,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Chk Hunan,CHN025,,,,,,,
ITEM,Chicken Mongolian,Chinese Non-Veg Starter,359,nonveg,5,Kitchen,,,Chk Mongol,CHN026,,,,,,,

ITEM,Classic Margherita Pizza,Pizza & Pasta,199,veg,5,Kitchen,,,Margherita,PIZ001,,,,,,,
ITEM,Fresh Farm Veggie Pizza,Pizza & Pasta,219,veg,5,Kitchen,,,Farm Veg,PIZ002,,,,,,,
ITEM,Paneer Corn Capsicum Pizza,Pizza & Pasta,239,veg,5,Kitchen,,,Pan Corn,PIZ003,,,,,,,
