Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Mineral Water","Mineral Water",,1,,,,,"",,29,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Virgin Mojito","Virgin Mojito",,2,,,,,"Mocktail & Shakes",,149,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Tea","Tea",,3,,,,,"",,39,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Blue Lagoon","Blue Lagoon",,4,,,,,"Mocktail & Shakes",,149,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Coffee","Coffee",,5,,,,,"",,49,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Red Bull Mojito","Red Bull Mojito",,6,,,,,"Mocktail & Shakes",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fresh Lime Soda","Fresh Lime Soda",,7,,,,,"",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Orange Splash","Orange Splash",,8,,,,,"Mocktail & Shakes",,149,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Aerated Beverages","Aerated Beverages",,9,,,,,"",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Black Currant","Black Currant",,10,,,,,"Mocktail & Shakes",,149,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Lassi","Lassi",,11,,,,,"",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Kit Kat Shake","Kit Kat Shake",,12,,,,,"Mocktail & Shakes",,159,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Jal Jeera","Jal Jeera",,13,,,,,"",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Oreo Shake","Oreo Shake",,14,,,,,"Mocktail & Shakes",,159,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Masala Chhachh","Masala Chhachh",,15,,,,,"",,99,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Butter Scotch Shake","Butter Scotch Shake",,16,,,,,"Mocktail & Shakes",,159,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Juices","Juices",,17,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chocolate Shake","Chocolate Shake",,18,,,,,"Mocktail & Shakes",,159,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Cold Coffee","Cold Coffee",,19,,,,,"",,119,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Vanilla Shake","Vanilla Shake",,20,,,,,"Mocktail & Shakes",,139,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Cold Coffee With Ice Cream","Cold Coffee With Ice Cream",,21,,,,,"",,139,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Hot Nsour Soup","Hot Nsour Soup",,22,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Hot Nsour Soup","Chicken Hot Nsour Soup",,23,,,,,"Mocktail & Shakes",,129,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Manchow Soup","Manchow Soup",,24,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Manchow Soup","Chicken Manchow Soup",,25,,,,,"Mocktail & Shakes",,129,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Sweet Corn Soup","Sweet Corn Soup",,26,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Sweet Corn Soup","Chicken Sweet Corn Soup",,27,,,,,"Mocktail & Shakes",,129,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Clear Soup","Veg Clear Soup",,28,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Veg Clear Soup","Chicken Veg Clear Soup",,29,,,,,"Mocktail & Shakes",,129,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Lemon Coriandar Soup","Lemon Coriandar Soup",,30,,,,,"",,109,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Lemon Coriandar Soup","Chicken Lemon Coriandar Soup",,31,,,,,"Mocktail & Shakes",,129,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
