Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
THE CITY VIEW,,,,,,,,
,,,,,,,,
BEVERAGE ,,,,,,MOCKTAIL & SHAKES,,
,,,,,,,,
1,Mineral Water,,29,,1,VIRGIN MOJITO,,149
2,Tea,,39,,2,BLUE LAGOON,,149
3,Coffee,,49,,3,RED BULL MOJITO,,219
4,Fresh lime soda ,,99,,4,ORANGE SPLASH,,149
5,Aerated Beverages,,99,,5,BLACK CURRANT,,149
6,Lassi,,99,,6,KIT KAT SHAKE,,159
7,Jal jeera,,99,,7,OREO SHAKE,,159
8,Masala Chhachh,,99,,8,BUTTER SCOTCH SHAKE,,159
9,Juices,,109,,9,CHOCOLATE SHAKE,,159
10,Cold coffee,,119,,10,VANILLA SHAKE,,139
11,Cold coffee With Ice Cream,,139,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CHINESE VEG SOUPS,,,,,CHINESE NON-VEG SOUPS,,,
,,,,,,,,
1,HOT NSOUR SOUP,,109,,1,CHICKEN HOT NSOUR SOUP,,129
2,MANCHOW SOUP,,109,,2,CHICKEN MANCHOW SOUP,,129
3,SWEET CORN SOUP,,109,,3,CHICKEN SWEET CORN SOUP,,129
4,VEG CLEAR SOUP,,109,,4,CHICKEN VEG CLEAR SOUP,,129
5,LEMON CORIANDAR SOUP,,109,,5,CHICKEN LEMON CORIANDAR SOUP,,129
6,TOMATO SOUP,,119,,,,,
,,,,,,,,
,CHINESE VEG STARTER,,,,,CHINESE NON VEG STARTER,,
1,CHILLI PANEER DRY/GRAVY,,289,,1,CHILLI CHICKEN DRY/GRAVY,,319
2,PANEER 65,,289,,2,CHICKEN 65,,319
3,PANEER JUNGALI,,289,,3,DRUMS OF HEAVEN,,339
4,CRISPY CORN SALT & PEPPER,,219,,4,CHILLI GARLIC CHICKEN,,329
5,VEG KOTHE,,219,,5,EGG CHILLI DRY/GRAVY,,299
6,VEG LOLLYPOP,,219,,6,CRISPY CHICKEN SALT AND PEPPER,,329
7,VEG SPRING ROLL,,249,,7,CRISPY HONEY CHICKEN,,339
8,CHILLI POTATO,,219,,8,CHICKEN SPRING ROLL,,339
9,CRISPY HONEY CHILLI POTATO,,219,,9,CHILLI FISH DRY/GRAVY,,359
10,MUSHROOM CHILLI,,289,,10,CHICKEN FRIED RICE,,289
11,PANEER GARLIC,,289,,11,CHICKEN SCHEZWAN FRIED RICE,,299
12,CHANA CHILLI,,219,,12,SINGAPOREAN CHICKEN FRIED RICE ,,299
13,PANEER KALI MIRCH,,289,,13,CHICKEN MANCHURIAN DRY/GRAVY,,319
14,VEG FRIED RICE,,259,,14,EGG NOODLES,,269
15,VEG SCHEZWAN FRIED RICE,,269,,15,CHICKEN HAKKA NOODLES,,299
16,TRIPLE FRIED RICE,,289,,16,CHILLI GARLIC CHICKEN NOODLES,,319
17,VEG CHILLI GARLIC FRIED RICE,,269,,17,BLACKPEPPER CHICKEN ,,319
18,VEG NOODLES,,219,,18,LEMON FISH,,339
19,VEG HAKKA NOODLES,,229,,19,FISH GARLIC SAUCE/LEMON CORIANDER,,359
20,VEG SCHEZWAN NOODLES,,249,,20,EGG KALI MIRCH,,249
21,VEG SINGAPORI NOODLES,,259,,21,GINGER CHICKEN,,359
22,VEG MANCHURIYAN DRY/GRAVY,,249,,22,CHICKEN KALI MIRCH,,359
23,PANEER MANCURIYAN DRY/GRAVY,,269,,23,KUNG PAO CHICKEN,,359
24,PANEER NOODLES,,259,,24,CHICKEN CHINA TOWN,,359
25,CHILLY GARLIC NOODLES,,259,,25,CHICKEN HUNAN SAUCE,,359
26,CHANA ROAST,,219,,26,CHICKEN MONGOLIAN,,359
27,PANEER CHINA TOWN,,249,,,,,
28,PANNER MUSHROOM GOLDEN FRY ,,269,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
