Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chilli Chicken Dry","Chilli Chicken Dry",,1,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes
"Chilli Chicken Gravy","Chilli Chicken Gravy",,2,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes
"Chicken 65","Chicken 65",,3,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes
"Drums Of Heaven","Drums Of Heaven",,4,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes
"Chilli Garlic Chicken","Chilli Garlic Chicken",,5,,,,,"Chinese Non Veg Starter",,329,non-veg,services,5,F,,,0,,,1,0,Yes
"Egg Chilli Dry","Egg Chilli Dry",,6,,,,,"Chinese Non Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes
"Egg Chilli Gravy","Egg Chilli Gravy",,7,,,,,"Chinese Non Veg Starter",,299,egg,services,5,F,,,0,,,1,0,Yes
"Crispy Chicken Salt And Pepper","Crispy Chicken Salt And Pepper",,8,,,,,"Chinese Non Veg Starter",,329,non-veg,services,5,F,,,0,,,1,0,Yes
"Crispy Honey Chicken","Crispy Honey Chicken",,9,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes
"Chicken Spring Roll","Chicken Spring Roll",,10,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes
"Chilli Fish Dry","Chilli Fish Dry",,11,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes
"Chilli Fish Gravy","Chilli Fish Gravy",,12,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes
